Time,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Units,Reference,Data Access And Licensing,,,
Circular Flow.Private Consumption[1],,,,,,,,,,,17406.28074,18345.56048,19251.70963,20212.57088,21283.38612,22242.99861,23633.65538,25069.21908,26074.08473,27577.87247,29592.14816,31291.34105,32750.58524,34379.79307,36694.40924,39267.32059,42451.3602,45494.95244,47877.37857,49030.21996,51286.1533,54114.78631,56958.84119,59710.3502,62087.77605,63732.23824,66767.02033,70003.22496,73900.32886,78359.18864,76873.66823,85310.35357,95156.47294,104311.992,,B$/year,Calculated from GDP.Nominal GDP[1] and Circular Flow.Households and NPISHs final consumption expenditure (% of GDP)[1],,,,
Circular Flow.labour share of gdp[1],,,,,,,,,,,,,,,,,,,,,,,,,0.539,0.534,0.53,0.528,0.533,0.543,0.532,0.527,0.528,0.527,0.529,0.529,0.529,0.528,0.527,0.529,0.538,0.528,0.523,0.523,,dmnl,ILOSDG (2025). SDG indicators 10.4.1 labour income share as percent of GDP annual. https://rplumber.ilo.org/data/indicator/?id=SDG_1041_NOC_RT_A&ref_area=X01&timefrom=2004&type=label&format=.csv,Creative Commons 4.0,,,
Circular Flow.bottom 40 share of real income[1],,,,,,0.0389,0.0382,0.0384,0.0382,0.0376,0.0377,0.0375,0.0377,0.0382,0.0383,0.0396,0.0397,0.0404,0.0405,0.0407,0.0397,0.0395,0.0396,0.04,0.0406,0.0405,0.0413,0.0421,0.0426,0.0449,0.0448,0.045,0.0456,0.0465,0.0473,0.0477,0.0469,0.0468,0.047,0.0474,0.0475,0.0469,0.047,0.0475,,dmnl,"Data from WID.world (2024). World Inequality Database, https://wid.world. Series Pre-tax national income bottom 40%, share, adults, equal split, world. Downloaded February 4, 2025.",Creative Commons 4.0,,,
Employment.Annual aggregate wages[1],,,,,,,,,,,,,,,,,,,,,,,,,33330.20768,35571.72648,38664.5653,41706.4296,44583.318,45782.1219,47810.15904,50483.41165,53252.232,55804.73618,58197.41658,59521.72047,62015.07204,65317.5336,69419.25418,73766.91813,74782.28514,82139.13312,90061.31651,96573.8851,,b$/year,Calculated from GDP.Nominal GDP[1] and Circular Flow.labour share of gdp[1],,,,
Employment.Employed[1],,,,,,,,,,,,1996.992897,2024.749528,2046.416463,2075.987198,2107.477132,2142.509913,2181.249513,2215.999548,2256.324863,2298.338171,2324.198022,2346.719251,2375.263198,2411.769508,2447.707158,2491.443724,2536.561045,2570.802931,2588.732007,2622.029429,2657.262567,2685.830049,2713.536392,2743.181065,2768.997128,2793.836685,2817.510662,2843.050657,2868.967702,,,,,,Mp,https://rshiny.ilo.org/dataexplorer15/?id=EMP_2EMP_SEX_AGE_NB_A&ref_area=X01&sex=SEX_T&classif1=AGE_YTHADULT_YGE15&timefrom=1991,,,,
Employment.Unemployed[1],,,,,,,,,,,,104.3814898,109.2961063,116.6093498,124.1708554,129.7358812,134.1604675,137.7479143,144.2703156,150.5395172,149.8764907,154.1688943,162.2390086,166.9697506,166.1219573,166.2344141,161.8023641,158.8028344,162.0376712,180.283839,178.7964935,176.6256964,178.1353027,178.0764294,175.3124346,177.9469497,178.3497755,176.8473277,173.3204578,169.3570031,,,,,,Mp,https://rshiny.ilo.org/dataexplorer16/?id=UNE_2UNE_SEX_AGE_NB_A&ref_area=X01&sex=SEX_T&classif1=AGE_YTHADULT_YGE15&timefrom=1991,,,,
Employment.unemployment rate[1],,,,,,,,,,,,0.04968,0.05122,0.05391,0.05643,0.05799,0.05892,0.0594,0.06112,0.06254,0.06121,0.0622,0.06466,0.06568,0.06444,0.06359,0.06099,0.05892,0.0593,0.06511,0.06384,0.06233,0.0622,0.06159,0.06007,0.06038,0.06,0.05905,0.05745,0.05574,,,,,,dmnl,,,,,
Employment.share of employment in agriculture[1],,,,,,,,,,,,0.433793097,0.431040053,0.423876797,0.417898543,0.410604847,0.404024962,0.400453047,0.399915337,0.400295459,0.398046338,0.393208394,0.389145255,0.383116356,0.371587771,0.361511974,0.351681603,0.343160173,0.337984498,0.333435759,0.327562137,0.31842957,0.309977972,0.301442097,0.29237739,0.285391771,0.280098452,0.274776649,0.268431781,0.263627403,0.270433543,0.266786965,0.263639022,,,dmnl,World bank World Development Indicators,SL.AGR.EMPL.ZS,,,
Employment.share of employment in industry[1],,,,,,,,,,,,0.21439051,0.213195079,0.213025412,0.212287362,0.211868781,0.212516395,0.212280745,0.2099849,0.207744861,0.206254661,0.206027681,0.203439646,0.203975918,0.207120556,0.211391199,0.216267234,0.221939985,0.222800987,0.222431354,0.225761343,0.229230152,0.233407239,0.23320095,0.233659336,0.232336341,0.232849619,0.233931318,0.235261953,0.23547198,0.234165811,0.237351355,0.238913003,,,dmnl,World bank World Development Indicators,SL.IND.EMPL.ZS,,,
Employment.share of employment in services[1],,,,,,,,,,,,0.351816389,0.355764863,0.363097798,0.369814104,0.377526402,0.383458652,0.387266214,0.390099748,0.39195969,0.395698985,0.400763929,0.407415089,0.412907726,0.421291674,0.427096808,0.432051175,0.434899844,0.43921452,0.444132884,0.446676534,0.452340277,0.456614793,0.465356956,0.473963287,0.482271916,0.487051929,0.491292022,0.496306271,0.500900635,0.495400641,0.495861701,0.49744797,,,dmnl,World bank World Development Indicators,SL.SRV.EMPL.ZS,,,
